folder,volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
251210_new_batch\batch_17\N035_V1485_PE1628_54deg,1485,54,1628,526.4551051839478,343.52825799011896,14270000.0,4.376997709299999,17020931.916666664,3247379.191850377
251210_new_batch\batch_17\N036_V3000_PE3175_52deg,3000,52,3175,723.2855696133055,531.0949647542571,21090000.0,4.462001085299999,18470989.791666664,5691650.442376923
251210_new_batch\batch_17\N037_V3957_PE4391_56deg,3957,56,4391,780.4077258757704,610.6512781765249,22170000.0,4.5259997845,17571225.333333332,5564114.318815697
251210_new_batch\batch_17\N038_V2622_PE2733_51deg,2622,51,2733,649.1082840723554,578.148283604749,19830000.0,4.3439998627000005,17868942.979166668,4462983.142701446
251210_new_batch\batch_17\N039_V3846_PE2667_30deg,3846,30,2667,774.3053863238605,503.2735611501519,20100000.0,6.0669996739,20093817.33333333,5484859.047746971
251210_new_batch\batch_17\N040_V2311_PE2598_58deg,2311,58,2598,662.987723285076,372.4798015255856,16040000.0,4.3299977779,15532068.583333332,3734424.046922649
251210_new_batch\batch_17\N041_V3430_PE2575_33deg,3430,33,2575,756.703213593645,606.3732792187161,22880000.0,5.9040002822,22387375.125,5537959.746898158
251210_new_batch\batch_17\N042_V506_PE560_57deg,506,57,560,162.79637530702772,33.68410458175056,4476000.0,3.5139999389,13435484.627603332,738927.526826021
251210_new_batch\batch_17\N043_V860_PE667_34deg,860,34,667,111.85276621415196,52.70149916170918,2800000.0,2.9539990425,25312175.27083333,881251.5526831856
251210_new_batch\batch_17\N044_V2083_PE1897_42deg,2083,42,1897,386.8527199013986,424.88117926093344,14180000.0,4.2149999142,25842511.27083333,3583536.3563037645
251210_new_batch\batch_17\N045_V4954_PE5172_51deg,4954,51,5172,771.2747685665751,676.3222470132906,24860000.0,4.5279991627000005,33253514.0,6722552.878093144
251210_new_batch\batch_17\N046_V3865_PE4191_54deg,3865,54,4191,781.2845386769162,651.846305623182,21480000.0,4.892998218600001,20507805.83333333,5203044.479626395
251210_new_batch\batch_17\N047_V3876_PE2832_32deg,3876,32,2832,786.9559581103696,618.1349883004509,24120000.0,5.0970001221,22572956.17708333,5868144.838386895
251210_new_batch\batch_17\N048_V577_PE520_42deg,577,42,520,87.69210329194334,19.48842537206829,2152000.0,3.1000001431000004,23581914.666666664,494730.9077011686
251210_new_batch\batch_18\N000_V4552_PE3918_39deg,4552,39,3918,768.4669465555831,733.0351593378596,25690000.0,4.9049987793,23813608.33333333,7025796.393916816
251210_new_batch\batch_18\N001_V2018_PE1811_41deg,2018,41,1811,422.2615746692825,240.02776348877217,10400000.0,3.5279986858,23854704.666666664,2233208.778624202
251210_new_batch\batch_18\N002_V5173_PE4354_38deg,5173,38,4354,765.0053942220705,707.2664164314713,35710000.0,5.487998485599999,22787876.666666664,8116081.16203884
251210_new_batch\batch_18\N003_V4816_PE4832_48deg,4816,48,4832,776.048449642099,722.8089741899857,25240000.0,4.7299990654,26607119.33333333,6381309.370853484
251210_new_batch\batch_18\N004_V4893_PE5108_51deg,4893,51,5108,773.4776648875609,648.6373264853504,22140000.0,4.4090008736,29680502.0,6427424.230470518
251210_new_batch\batch_18\N006_V5257_PE5111_46deg,5257,46,5111,766.5415975030359,748.6268689422704,25780000.0,5.4910001755,24925458.0,7767179.922859469
251210_new_batch\batch_18\N007_V4538_PE5253_60deg,4538,60,5253,757.4429505096734,385.7294474222328,19540000.0,4.3880012036,22225356.125,5361017.463231163
251210_new_batch\batch_18\N008_V5349_PE4006_33deg,5349,33,4006,764.2072459255688,698.461084097033,25740000.0,6.313000917499999,18820701.33333333,8144336.2137392545
251210_new_batch\batch_18\N010_V3724_PE3800_50deg,3724,50,3800,773.4557640323271,699.0828754293078,23210000.0,5.1569981575,25379011.666666664,6451963.590954106
251210_new_batch\batch_18\N011_V4039_PE3318_37deg,4039,37,3318,779.6381398759622,754.1513307728281,26150000.0,4.9460000992,19787484.0,6201084.81705928
251210_new_batch\batch_18\N012_V4663_PE4538_46deg,4663,46,4538,774.961337616889,699.7951385992262,26430000.0,4.4150002002,31143736.86458333,6659454.185275784
251210_new_batch\batch_18\N013_V4133_PE3030_32deg,4133,32,3030,780.2378086979945,703.6793113712417,26240000.0,5.9399998188000005,22328729.33333333,7401741.809281114
251210_new_batch\batch_18\N014_V1307_PE1279_46deg,1307,46,1279,421.1633598119566,191.29871935485963,10230000.0,3.795999288600001,16273078.666666666,2379602.016821686
251210_new_batch\batch_18\N015_V2030_PE1605_35deg,2030,35,1605,428.4823978222639,293.1371735830046,10610000.0,5.4739997387,25791394.75,2647446.412486174
